timestamp,error_x,error_y,pan_angle,tilt_angle,delta_pan,delta_tilt
1770647972.9475107,0,-39,90.0,88.33,-0.0,-1.669
1770647973.1891172,0,-41,90.0,86.94,-0.0,-1.3952
1770647973.438868,0,-28,90.0,87.14,-0.0,0.2005
1770647973.689297,0,0,90.0,87.14,0,0
1770647973.9399664,0,0,90.0,87.14,0,0
1770647974.188679,0,0,90.0,87.14,0,0
1770647974.4393547,0,0,90.0,87.14,0,0
1770647974.68943,0,0,90.0,87.14,0,0
1770647974.9399538,0,0,90.0,87.14,0,0
1770647975.1892915,0,0,90.0,87.14,0,0
1770647975.4389567,0,0,90.0,87.14,0,0
1770647975.6932914,0,0,90.0,87.14,0,0
1770647975.9427738,0,0,90.0,87.14,0,0
1770647976.1925826,0,0,90.0,87.14,0,0
1770647976.4419143,0,0,90.0,87.14,0,0
1770647976.6936862,0,0,90.0,87.14,0,0
1770647976.9432635,0,0,90.0,87.14,0,0
1770647977.1995828,0,0,90.0,87.14,0,0
1770647977.4422483,0,0,90.0,87.14,0,0
1770647977.6924632,69,0,87.61,87.27,-2.3944,0.1317
1770647977.943146,56,-26,86.96,84.41,-0.6428,-2.8544
1770647978.1922293,30,0,88.15,86.5,1.1873,2.0873
1770647978.4428003,0,0,88.15,86.5,0,0
1770647978.6928413,0,0,88.15,86.5,0,0
1770647978.9427161,0,0,88.15,86.5,0,0
1770647979.1925747,0,0,88.15,86.5,0,0
1770647979.4429598,0,0,88.15,86.5,0,0
1770647979.6938207,0,0,88.15,86.5,0,0
1770647979.9428425,0,0,88.15,86.5,0,0
1770647980.1929297,0,0,88.15,86.5,0,0
1770647980.442745,0,0,88.15,86.5,0,0
1770647980.6928499,0,0,88.15,86.5,0,0
1770647980.9436495,0,0,88.15,86.5,0,0
1770647981.1927862,0,0,88.15,86.5,0,0
1770647981.443351,0,0,88.15,86.5,0,0
1770647981.6930687,0,0,88.15,86.5,0,0
1770647981.9444225,0,0,88.15,86.5,0,0
1770647982.1930196,0,0,88.15,86.5,0,0
1770647982.4446073,0,0,88.15,86.5,0,0
1770647982.6934853,0,0,88.15,86.5,0,0
1770647982.9449275,-43,0,89.75,86.5,1.5972,0.0
1770647983.193729,0,0,89.75,86.5,0,0
1770647983.4442837,0,0,89.75,86.5,0,0
1770647983.6941278,0,0,89.75,86.5,0,0
1770647983.9440491,0,0,89.75,86.5,0,0
1770647984.1939838,0,0,89.75,86.5,0,0
1770647984.443939,0,0,89.75,86.5,0,0
1770647984.6949706,0,0,89.75,86.5,0,0
1770647984.9444706,0,0,89.75,86.5,0,0
1770647985.1946785,0,0,89.75,86.5,0,0
1770647985.4444938,0,0,89.75,86.5,0,0
1770647985.6949186,96,0,86.75,86.5,-3,0.0
1770647985.9446988,82,0,85.41,86.5,-1.3391,0.0
1770647986.19606,71,0,84.15,86.5,-1.2548,0.0
1770647986.4449244,0,0,84.15,86.5,0,0
1770647986.6958268,0,0,84.15,86.5,0,0
1770647986.9450774,61,0,82.59,86.5,-1.563,0.0
1770647987.1951694,0,0,82.59,86.5,0,0
1770647987.4453926,-50,0,85.59,86.5,3,0.0
1770647987.6950705,0,0,85.59,86.5,0,0
1770647987.9451234,0,0,85.59,86.5,0,0
1770647988.1961575,0,0,85.59,86.5,0,0
1770647988.4462433,0,0,85.59,86.5,0,0
1770647988.6956208,0,0,85.59,86.5,0,0
1770647988.94555,0,0,85.59,86.5,0,0
1770647989.1954055,0,0,85.59,86.5,0,0
1770647989.4459672,0,0,85.59,86.5,0,0
1770647989.6956596,0,0,85.59,86.5,0,0
1770647989.9457872,0,0,85.59,86.5,0,0
1770647990.1966429,0,0,85.59,86.5,0,0
1770647990.4462686,0,0,85.59,86.5,0,0
1770647990.696053,0,0,85.59,86.5,0,0
1770647990.9464316,0,0,85.59,86.5,0,0
1770647991.196174,0,0,85.59,86.5,0,0
1770647991.4466047,0,0,85.59,86.5,0,0
1770647991.6964974,0,0,85.59,86.5,0,0
1770647991.9478,-29,0,86.37,86.5,0.7767,0.0
1770647992.196691,0,0,86.37,86.5,0,0
1770647992.446913,52,0,83.37,86.5,-3,0.0
1770647992.6972907,0,0,83.37,86.5,0,0
1770647992.9467816,0,0,83.37,86.5,0,0
1770647993.198049,-32,0,86.37,86.5,3,0.0
1770647993.4469175,-25,0,86.56,86.5,0.1878,0.0
1770647993.6979444,0,0,86.56,86.5,0,0
1770647993.947349,0,0,86.56,86.5,0,0
1770647994.197287,0,0,86.56,86.5,0,0
1770647994.4480221,0,0,86.56,86.5,0,0
1770647994.697335,0,0,86.56,86.5,0,0
1770647994.9485831,0,0,86.56,86.5,0,0
1770647995.1976867,0,0,86.56,86.5,0,0
